Date,Title,positive_score,negative_score,neutral_score,prediction
2015-01-28,"HIMX, QUIK, PXLW up strongly amid Apple-driven chip rally",0.9404286146,0.0238854643,0.0356859006,positive
2015-01-29,Apple takes top spot in China for luxury gifts,0.540222168,0.0159647577,0.4438130558,positive
2015-02-02,Apple plans $5B debt offering (updated),0.0649658218,0.0131143983,0.9219197631,neutral
2015-02-02,Apple investing $2B in GT Advanced's former plant,0.0691198632,0.0131022763,0.9177778363,neutral
2015-02-04,Report: Apple in talks to launch Web TV service,0.148706302,0.0102095101,0.8410841823,neutral
2015-02-07,Corning's Project Phire aims to head off sapphire threat,0.2337222248,0.1046692505,0.6616084576,neutral
2015-02-10,Talent showdown between Tesla Motors and Apple,0.1651557982,0.0306884032,0.804155767,neutral
2015-02-10,"Cook: Apple planning $850M solar farm, Apple Pay outperforming",0.6007779837,0.0436458029,0.355576247,positive
2015-02-11,Icahn publishes new Apple letter; shares near $125,0.756167829,0.0715024918,0.1723296642,positive
2015-02-13,Apple reportedly hiring auto industry experts,0.0572006255,0.0320207253,0.9107785821,neutral
2015-02-13,"WSJ: Apple car project is for real, and it's a minivan",0.0405549258,0.0198082849,0.9396367669,neutral
2015-02-13,Apple Pay gets foot into a big door: U.S. government transactions,0.04693719,0.1034423411,0.8496204615,neutral
2015-02-17,Apple reportedly orders 5M-6M Watch units; car speculation swirls,0.1920134425,0.1228881031,0.6850984097,neutral
2015-02-19,Samsung jumps deep into mobile payments,0.4263034165,0.0109185269,0.5627780557,neutral
2015-02-19,Bloomberg: Apple's first car could arrive by 2020,0.1509515196,0.0098802391,0.8391682506,neutral
2015-02-23,Apple to invest 鈧1.7B in new data centers,0.2084851861,0.0082715964,0.7832431793,neutral
2015-02-23,Apple tops $132 after Barron's predicts further gains,0.6731963158,0.1678062677,0.1589973569,positive
2015-02-25,Apple to pay $532.9M in iTunes patent trial,0.1021933183,0.0663723275,0.8314343691,neutral
2015-02-25,Cisco products disappear from Chinese government buy list,0.0138811544,0.8124477863,0.1736710966,negative
2015-02-26,Apple sends out invites for March 9 event,0.0298728757,0.0376718305,0.9324552417,neutral
2015-02-27,Apple patent infringement suits keep coming,0.0173537731,0.8788711429,0.103775084,negative
2015-03-01,"Samsung launches S6 with metal/glass body, 2K display, new fingerprint sensor",0.2440093905,0.0109934006,0.744997263,neutral
2015-03-03,Telefonica to enter mobile voice-search fray,0.1209395826,0.0069529079,0.8721074462,neutral
2015-03-04,HBO said to work with Apple as launch partner for standalone offering,0.3564102948,0.0068396395,0.636750102,neutral
2015-03-04,"Bloomberg: Apple delays production of 12.9"" iPad to September (updated)",0.0090193367,0.9178187251,0.0731619447,negative
2015-03-05,"Report: Apple music service to undercut Spotify, new Apple TV planned",0.1983454973,0.7043226361,0.0973318592,negative
2015-03-06,Where could HBO Now go? (And where does it leave HBO Go now?),0.0355823711,0.2341260314,0.7302915454,neutral
2015-03-06,Apple replacing AT&T in Dow Jones Industrial Average,0.0485435911,0.122069411,0.8293869495,neutral
2015-03-09,"Apple cuts Apple TV price, confirms HBO Now partnership (updated)",0.0533359349,0.167596072,0.7790680528,neutral
2015-03-09,"Apple launches very thin/light 12"" retina MacBook",0.2132811397,0.0194174498,0.7673013806,neutral
2015-03-09,Apple sets Watch prices; pre-orders start on April 10,0.0283080824,0.023058109,0.9486337304,neutral
2015-03-09,HBO-Apple deal a year in the making; cable partners still a challenge,0.2430157512,0.0806566179,0.6763276458,neutral
2015-03-10,"WSJ: iPhone 6S will support haptics, might come in pink",0.8231967688,0.0083957491,0.1684074998,positive
2015-03-11,Report: Intel partly replacing Qualcomm as iPhone modem supplier,0.0893520936,0.0194767322,0.891171217,neutral
2015-03-11,"Apple: iTunes, App Store down for all users (updated)",0.0120282331,0.8420131207,0.145958662,negative
2015-03-16,WSJ: Apple talking Web TV service for fall launch,0.0356626175,0.0217175689,0.942619741,neutral
2015-03-16,"More on Apple's Web TV: What about NBC, basic pay TV channels?",0.0364894532,0.0176150259,0.945895493,neutral
2015-03-20,"Report: New Apple TV launching in June, will feature App Store/Siri",0.1197757572,0.0090339258,0.8711903095,neutral
2015-03-20,Microsoft launches $70 Lumia 430,0.1313783377,0.0186331421,0.8499885201,neutral
2015-03-23,Cowen survey: Android-to-iPhone defections growing,0.0106428331,0.9586765766,0.0306805596,negative
2015-03-24,Goldman: Buy during buyback blackout period,0.0322751142,0.0851368755,0.8825880289,neutral
2015-03-26,"Report: TSMC will remain ""major"" iPhone CPU supplier in 2H15",0.3246358931,0.0156879295,0.6596761346,neutral
2015-03-27,Cook to donate all his wealth to charity,0.0929994062,0.0121319825,0.8948686719,neutral
2015-03-30,"ADI +8.1%; Barclays upgrades, reports of Apple Force Touch wins",0.8414232135,0.0171139669,0.1414628923,positive
2015-04-01,Samsung gets rave reviews for Galaxy S6,0.9414569139,0.0168390442,0.0417040475,positive
2015-04-01,"Citi adds Apple to Focus List, sees iPhone margins staying high",0.9489864111,0.0216164887,0.0293970928,positive
2015-04-07,Cantor's March Apple checks strong; over 1K Watch apps submitted,0.8924220204,0.011423246,0.0961548239,positive
2015-04-07,HBO Now rolls out via Apple and Cablevision,0.0778997913,0.0088681113,0.9132320285,neutral
2015-04-08,Apple Watch reviews arrive; SocGen downgrades to Hold,0.0253967699,0.8949733973,0.0796297714,negative
2015-04-09,PC sales fall sharply in Q1,0.0094810519,0.9747265577,0.0157923922,negative
2015-04-10,Raymond James downgrades Apple; Watch ship times slip to May/June,0.0132753449,0.943505168,0.0432194322,negative
2015-04-14,Apple buys 3D/multi-image camera module developer LinX,0.141270712,0.0111900521,0.8475392461,neutral
2015-04-17,WSJ: Apple in talks to launch Apple Pay in Canada this fall,0.1992723197,0.0105547961,0.7901728749,neutral
2015-04-23,Apple software bug lets hackers crash iPhones,0.0124467183,0.8594249487,0.1281283051,negative
2015-04-27,"Morgan Stanley: 10 cheap big names, 10 expensive ones",0.0421105586,0.0481412411,0.9097481966,neutral
2015-04-27,"Apple beats estimates, guides in-line, ups dividend",0.2810103297,0.0204780884,0.6985116005,neutral
2015-04-27,Apple's gross margin tops guidance; iPhone ASP at $659,0.6266005039,0.0481869541,0.3252125382,positive
2015-04-27,"Apple's call: iPhone upgrades, Apple Watch, China, margins discussed",0.1457546055,0.0130958362,0.8411495686,neutral
2015-04-28,"Apple gets target hikes, Icahn praise after FQ2 beat",0.6351368427,0.0493873283,0.3154758215,positive
2015-04-29,"Apple roundup: Watch component defect, tax disclosure, smartphone share",0.0251831822,0.0506476089,0.9241691828,neutral
2015-05-02,"BRCM, STM, ADI, IDTI, SNDK, MU land Apple Watch design wins",0.1745455265,0.008269134,0.8171852827,neutral
2015-05-06,Apple's Beats Music deals under scrutiny,0.1975593716,0.1250400841,0.6774005294,neutral
2015-05-07,Apple sells $8B worth of debt for dividends/buybacks,0.0453987159,0.0176339708,0.9369672537,neutral
2015-05-11,Chinese smartphone sales fall in Q1; Apple's share jumps to 14.7%,0.0106210466,0.971632421,0.0177465379,negative
2015-05-13,Report: TSMC to produce Apple's SSD controller chips,0.1236806363,0.0103009772,0.8660183549,neutral
2015-05-14,Apple +2.1%; UBS reports strong iPhone checks (updated),0.9354382753,0.0285378732,0.0360239483,positive
2015-05-18,Apple buys high-precision GPS service firm Coherent Navigation,0.1309941113,0.0106400549,0.8583657742,neutral
2015-05-18,Apple/Samsung damages partly reversed; Q1 hedge fund data arrives,0.0967480168,0.8058295846,0.0974223092,negative
2015-05-18,"Icahn hikes Apple target to $240, sees FY16 EPS of $12",0.820503056,0.1042933017,0.0752037391,positive
2015-05-19,WSJ: Apple shelved plans to launch a TV set,0.021186363,0.8649202585,0.1138934717,negative
2015-05-19,"Apple launches 15"" Force Touch MacBook Pro, cuts 5K 27"" iMac prices",0.5009791851,0.0982733294,0.4007475376,positive
2015-05-20,Universal Display higher amid Apple speculation,0.893283844,0.0364036337,0.0703124851,positive
2015-05-21,Goldman updates list of most-held hedge fund names,0.0240628682,0.0406736434,0.9352634549,neutral
2015-05-21,"Report: Apple prepping 12"" iPads, dual-app viewing, multi-user login",0.0825159252,0.0141512025,0.9033328295,neutral
2015-05-22,Apple reportedly wants to offer local TV; Slice estimates U.S. Watch sales,0.1777584851,0.0080188736,0.8142225742,neutral
2015-05-25,Ive named Apple's Chief Design Officer; others taking over managerial work,0.02882687,0.0559534058,0.9152196646,neutral
2015-05-27,"Report: Apple preps Google Now rival, augmented reality for Maps",0.2013106942,0.0123354327,0.7863538861,neutral
2015-06-01,"WSJ: Apple pricing music service at $10/month, updating iTunes Radio",0.1144045964,0.0119946729,0.873600781,neutral
2015-06-03,CBS sets streaming Showtime offering for July launch on Apple devices,0.0937820151,0.0099212425,0.8962967396,neutral
2015-06-03,Reports: Apple cancels plans to unveil new Apple TV at WWDC,0.0103302421,0.8972071409,0.0924625769,negative
2015-06-04,"Apple expands Watch availability, says response surpasses expectations",0.9326210022,0.0175454021,0.049833592,positive
2015-06-05,"IDC: Fitbit had 34% of Q1 wearables market, Garmin 6%",0.0635023117,0.0149189783,0.9215787649,neutral
2015-06-06,Apple poised to bring Apple Pay to the U.K. - Telegraph,0.1910327226,0.0146255326,0.794341743,neutral
2015-06-07,Google misses out on Apple's transaction fees,0.0116187548,0.9160940051,0.072287254,negative
2015-06-08,"Apple unveils OS X El Capitan, Proactive assistant, new Apple Pay deals",0.1695731282,0.0139842061,0.8164426684,neutral
2015-06-08,"Apple reveals Music service, News app, iPad multitasking, watchOS 2",0.0411322005,0.0166322682,0.9422355294,neutral
2015-06-10,Apple Music under antitrust scrutiny,0.0229085311,0.5279284716,0.4491630495,negative
2015-06-11,Criteo -5.6%; Apple plans to support ad-blockers on Mobile Safari,0.3726036549,0.0098393885,0.6175569892,neutral
2015-06-16,MobileIron +7.9%; company working with Apple on iOS enterprise deployments,0.492323339,0.0102181267,0.4974585176,neutral
2015-06-18,"Report: Apple Watch 2 set to have FaceTime camera, iPhone-free data use",0.1390194595,0.0095564909,0.851424098,neutral
2015-06-22,Apple caves on music streaming royalties,0.0899124593,0.0164970141,0.8935905695,neutral
2015-06-22,Synaptics -4.5%; Apple reportedly working on TDDI iPhone chips,0.1884501576,0.0128436275,0.7987062335,neutral
2015-06-22,Reports: Apple working on iPhone design that eliminates home button,0.1057889834,0.0199442208,0.8742667437,neutral
2015-06-23,Apple extends Liquidmetal exclusivity deal by another year,0.4115166664,0.017163923,0.5713194609,neutral
2015-06-24,"Apple gains following bullish Piper, Morgan Stanley iPhone notes",0.659504056,0.1191823035,0.2213136107,positive
2015-06-30,Apple set to pay $450M after losing e-book appeal; Apple Music goes live,0.0170197319,0.943484664,0.0394955613,negative
2015-07-01,Pac Crest hikes iPhone/cuts Watch estimates; leaked 6S photos show faster QCOM modem,0.3925501406,0.2342182994,0.3732316494,positive
2015-07-08,WSJ: Apple wants suppliers to produce 85M-90M iPhone 6S units,0.2129053026,0.0096722711,0.7774224281,neutral
2015-07-09,Apple closes down 2%; China continues drawing attention,0.0109785991,0.9634879827,0.0255334601,negative
2015-07-13,Apple's dominance of profit almost complete,0.2568933368,0.0389466211,0.7041600347,neutral
2015-07-13,"SocGen upgrades Apple, hikes FQ3 iPhone estimates",0.2374706268,0.6770606041,0.0854688361,negative
2015-07-14,Apple Pay launches in the U.K.,0.2592965662,0.0119605539,0.7287428975,neutral
2015-07-20,Apple up 2.2% amid flurry of bullish pre-earnings notes,0.9129763246,0.0579454079,0.029078234,positive
2015-07-21,"Apple beats estimates, guides light; shares fall",0.3969027102,0.5215517282,0.0815455616,negative
2015-07-21,Apple declares $0.52 dividend,0.0287724361,0.0696354508,0.9015921354,neutral
2015-07-21,"Apple -7%; FQ3 gross margin tops guidance, China sales a strong point",0.9525520802,0.0224119853,0.0250359699,positive
2015-07-21,"Apple's call: Watch sales, iPhone/iPad inventories, China, forex discussed",0.0339582153,0.0266216863,0.939420104,neutral
2015-07-22,"Apple sees downgrade, defenders following FQ3 report; shares -5.1%",0.0237871725,0.8127795458,0.1634332985,negative
2015-07-27,Apple Watch hits Best Buy stores,0.0872837603,0.0474128798,0.8653033376,neutral
2015-07-27,U.S. companies to invest $140B in support of U.N. climate change deal,0.7864474058,0.0089522433,0.204600364,positive
2015-07-30,"Report: New Apple TV set-top due in September, will have remote with touchpad",0.22441338,0.0096976701,0.765888989,neutral
2015-08-03,Report: Apple in talks to offer mobile phone services on MVNO basis (updated),0.1464356482,0.0090104258,0.8445539474,neutral
2015-08-04,Apple shoots down MVNO service report; shares down another 3.2%,0.0088748652,0.9655023813,0.0256227907,negative
2015-08-05,"Apple slips as BofA/Merrill downgrades, predicts slower growth (updated)",0.0281792972,0.911113739,0.0607069321,negative
2015-08-07,Report: Apple's next iPhone event set for week of September 7,0.0214803331,0.0602211952,0.9182984829,neutral
2015-08-10,"Apple up 3.7% as markets rally, analysts defend",0.9139969349,0.0482431799,0.0377599113,positive
2015-08-11,Apple drops 5.2% amid tech rout; Jefferies cuts target on China fears,0.0227461737,0.939057827,0.0381960422,negative
2015-08-13,Bloomberg: Apple now aiming for 2016 Web TV service launch,0.1265292019,0.0103147645,0.8631560802,neutral
2015-08-14,Report: Apple interested in place used to test self-driving cars,0.152807638,0.0094182761,0.8377740383,neutral
2015-08-20,Just 13 stocks beat Google since IPO,0.192904219,0.0249008816,0.7821949124,neutral
2015-08-21,Apple raises record debt Down Under,0.0317228921,0.8913187385,0.0769583061,negative
2015-08-21,Averages suffer worst week since 2011,0.0175798032,0.9545491934,0.0278709661,negative
2015-08-21,Apple hire from Tesla points to continued car-team buildout,0.9276726842,0.0105307912,0.0617965832,positive
2015-08-24,Tech stocks setting up for dismal day,0.0258171242,0.8797605038,0.0944223404,negative
2015-08-24,"Apple slips below $100, poised for 10-month low (updated)",0.0158734899,0.8975414038,0.0865850747,negative
2015-08-25,Wells Fargo upgrades Apple; shares +5.7% as markets jump (updated),0.6123396754,0.123628296,0.2640319765,positive
2015-08-26,"HPQ, NVDA, SWKS, QRVO, PANW, others see huge gains as Nasdaq soars",0.930495441,0.0200680904,0.0494364314,positive
2015-08-27,Apple confirms event for Sept. 9,0.0227429848,0.0605280139,0.916729033,neutral
2015-08-28,Apple Music misses a beat,0.0907476768,0.2750051916,0.6342471242,neutral
2015-08-28,Morgan Stanley's 27 stocks to buy on the dip,0.1170888096,0.0218196511,0.8610914946,neutral
2015-08-31,Apple forms alliance with Cisco; new Apple TV reportedly emphasizes Siri/gaming,0.8762751222,0.0087925047,0.1149323657,positive
2015-09-01,Apple reportedly talks with Hollywood about financing original content,0.4534577727,0.0133148339,0.5332273841,neutral
2015-09-02,"Report: Apple plans to unveil iPad Pro, iPad Mini 4 at iPhone event",0.2727426887,0.0115096038,0.7157477736,neutral
2015-09-04,Sony promises big image sensor investments ahead of iPhone 6S launch,0.8014472127,0.0088950843,0.1896577328,positive
2015-09-09,"Apple set to introduce new iPhones, iPad and Apps for Apple TV",0.1677829623,0.0095774671,0.8226395845,neutral
2015-09-09,"Apple unveils 12.9"" iPad Pro, new Watch finishes/accessories (updated)",0.1027193442,0.0136004211,0.883680284,neutral
2015-09-09,"New Apple TV set-top revealed; Siri, App Store, games, touchpad supported (updated)",0.1724976301,0.0108118309,0.8166905642,neutral
2015-09-09,"Apple unveils iPhone 6S/6S+ with 3D Touch sensors, A9 CPU, improved cameras",0.8931104541,0.0092607625,0.0976288542,positive
2015-09-10,Apple returns to eurozone bond market,0.1090303734,0.0234646648,0.8675049543,neutral
2015-09-14,Apple states initial iPhone sales on pace to top year-ago levels; shares +2.6% (updated),0.9296112061,0.0189825892,0.0514061414,positive
2015-09-14,"Goldman rate-hike plays: Favor balance sheet quality, avoid floating rate debt",0.190419361,0.0130969444,0.7964836955,neutral
2015-09-16,Apple reportedly buys mapping visualization firm; S&P upgrades to Strong Buy,0.945127964,0.0235619564,0.0313101262,positive
2015-09-18,Apple wins key patent appeal against Samsung,0.4981494844,0.1411023736,0.3607482016,positive
2015-09-21,Apple App Store suffers first 'big hack attack',0.0179863144,0.935547173,0.0464665107,negative
2015-09-21,"WSJ: Apple steps up electric car efforts, aims for 2019 shipping date",0.8250599504,0.0108988425,0.1640412807,positive
2015-09-22,Apple iPhone 6s reviews roll in,0.3765583038,0.2008027285,0.4226388931,neutral
2015-09-25,New iPhone 6s hits stores Friday,0.3767162561,0.0514170155,0.5718666911,neutral
2015-09-28,Record opening weekend iPhone sales,0.6154882312,0.0504400879,0.3340716362,positive
2015-09-30,Icahn thinking of upping Apple stake; Cook states enterprise sales hit $25B,0.7976338863,0.0287976656,0.1735684723,positive
2015-10-01,Apple adds ex-Boeing CFO to board; OS X El Capitan released,0.0565130524,0.0184875149,0.9249994159,neutral
2015-10-02,Apple buys voice assistant/language technology startup,0.115303807,0.0106850015,0.8740111589,neutral
2015-10-09,Elon Musk: Apple hires the engineers we reject,0.0681999102,0.0141868144,0.9176133275,neutral
2015-10-13,"Apple launches 4K 21.5"" iMac, new 5K systems, peripherals",0.2979977429,0.0130009642,0.6890013218,neutral
2015-10-16,"Report: Intel working on iPhone modem solution, could land Apple foundry deal",0.8644121289,0.0099700941,0.1256177574,positive
2015-10-20,Tim Cook provides user figures of Apple Music,0.0297523756,0.0343418345,0.9359058142,neutral
2015-10-21,"EU concludes Starbucks, Fiat tax deals are illegal",0.019206332,0.1902561486,0.7905375361,neutral
2015-10-23,Report: Apple Music near release of Android app,0.0559001975,0.0365578122,0.9075419307,neutral
2015-10-27,"Apple beats estimates, guides in-line",0.2783001065,0.0288742594,0.6928256154,neutral
2015-10-27,"Apple reports 39.9% gross margin, $670 iPhone ASP; dividend declared",0.0531616956,0.0207273476,0.9261110425,neutral
2015-10-27,"Apple's call: Chinese iPhone sales, forex, iPad, Android switching discussed",0.0869113207,0.0170405563,0.8960481286,neutral
2015-10-28,Apple now up 2% post-earnings; Pac Crest upgrades,0.9478708506,0.0174689703,0.0346602388,positive
2015-11-03,GT Advanced up 60% after striking debt deal with Apple,0.9475238919,0.0166251063,0.0358510651,positive
2015-11-05,Report: Synaptics lands 2016 iPhone LCD driver orders,0.1500574946,0.0165249202,0.8334175944,neutral
2015-11-09,Apple's iPad Pro goes on sale on Wednesday; pricing starts at $799,0.0619889796,0.0201517064,0.9178593159,neutral
2015-11-10,Apple lower after Credit Suisse supplier checks,0.0787343159,0.8407921791,0.0804734901,negative
2015-11-11,Apple reportedly working on P2P payments service; PayPal slides,0.0790927187,0.0117224148,0.9091848731,neutral
2015-11-18,Apple touched by Goldman; up 1.6%,0.8480206728,0.0883461908,0.063633129,positive
2015-11-19,"Universal Display surges amid Apple patent application, LG OLED TV buzz (updated)",0.1757617295,0.0407456234,0.7834926248,neutral
2015-11-20,Jury rules Apple didn't infringe Pendrell patents; Pendrell halted,0.0490090549,0.1347786933,0.8162122369,neutral
2015-11-23,Report: Apple Pay to launch in China by February (updated),0.0545488372,0.0150449071,0.9304062724,neutral
2015-11-25,Apple buys Star Wars motion capture tech developer Faceshift,0.0853941068,0.0145686977,0.9000372291,neutral
2015-11-25,Report: Apple to begin using OLED iPhone displays in 2018,0.1221334413,0.0095602814,0.8683062792,neutral
2015-11-30,Analyst: Apple's Black Friday the best ever,0.7271306515,0.0158961229,0.2569732368,positive
2015-12-01,WisdomTree LargeCap Dividend ETF (DLN) November Summary,0.0386806652,0.0344413146,0.9268780947,neutral
2015-12-01,WisdomTree U.S. Dividend Growth ETF (DGRW) November Summary,0.3308833539,0.0361970291,0.6329196095,neutral
2015-12-03,"Report: 4"" iPhone 6C will ship in early 2016, feature A9 CPU and metal case",0.2261120826,0.0090640076,0.764823854,neutral
2015-12-04,"Barclays downgrades ADI, doesn't expect Force Touch in 2016 iPads",0.0250145234,0.0831469521,0.891838491,neutral
2015-12-04,"Samsung paying Apple $548M in damages, hopes to recover the money",0.1183586568,0.241477266,0.6401640773,neutral
2015-12-08,Apple reportedly plans March Apple Watch event; iPhone battery case launched,0.0268346462,0.0415466242,0.9316187501,neutral
2015-12-08,Citi: 28 U.S. value names for 2016,0.0374819636,0.0283901319,0.9341279268,neutral
2015-12-08,Bloomberg: Apple suspends TV service plans as big media resists (updated),0.0097993966,0.8990091681,0.0911914259,negative
2015-12-14,Morgan Stanley: iPhone sales to decline next year,0.0069425767,0.9685965776,0.0244608205,negative
2015-12-14,"SWKS, QRVO, INVN slump after Morgan Stanley forecasts iPhone sales drop",0.0108632287,0.9701182842,0.0190184638,negative
2015-12-15,Universal Display down 3% on new bearish StreetSweper column,0.0095055671,0.9659574032,0.0245369915,negative
2015-12-15,"ParkerVision sues Apple, Samsung, others in ITC complaint",0.0149848117,0.8536652327,0.1313500106,negative
2015-12-17,"Apple promotes Williams to COO, puts Schiller in charge of App Store (updated)",0.0574629232,0.0191034731,0.9234335423,neutral
2015-12-17,"Apple, China UnionPay teaming on Apple Pay China rollout for early 2016",0.098914139,0.0153896827,0.8856961727,neutral
2015-12-20,"""Total political crap"" - Tim Cook on claims Apple evades taxes",0.0201500338,0.8108302951,0.1690196544,negative
2015-12-20,"Nielsen: Facebook, Google have the 8 most popular U.S. mobile apps",0.1413217038,0.0209763572,0.8377019167,neutral
2015-12-21,"Ericsson and Apple sign patent license agreement, settle litigation",0.306422472,0.050010968,0.6435665488,neutral
2015-12-30,Apple to pay Italy 鈧318M following tax probe,0.1298858523,0.0236407816,0.8464733958,neutral
2015-12-30,Samsung/LG reportedly supplying OLEDs for iPhones; Universal Display rises,0.108501792,0.0100909853,0.8814072013,neutral
2016-01-01,Apple closes first negative year since 2008,0.0176789928,0.9566200376,0.0257009193,negative
2016-01-03,CDC heavily debated cellphone radiation risk,0.0421879962,0.0704753771,0.8873366117,neutral
2016-01-04,WisdomTree LargeCap Dividend ETF (DLN) December Summary,0.0380231626,0.0566353574,0.9053414464,neutral
2016-01-04,WisdomTree U.S. Dividend Growth ETF (DGRW) December Summary,0.2959625125,0.0426303558,0.6614071131,neutral
2016-01-05,Apple reportedly expected to cut iPhone 6S/6S+ orders; shares lower,0.008549016,0.9703481197,0.0211028811,negative
2016-01-06,Apple reports 2015 App Store spending tops $20B (updated),0.1964838952,0.0360263623,0.7674897909,neutral
2016-01-07,Apple CEO Cook's pay package worth $10.3M,0.0902161524,0.0196869131,0.8900969028,neutral
2016-01-07,Apple continues A.I. startup buying spree; two chip suppliers warn,0.2494392097,0.0210180227,0.7295427322,neutral
2016-01-08,"Reuters: Apple, Google in talks with NFL to stream London games",0.6639919877,0.0166747998,0.3193331659,positive
2016-01-08,"Report: Apple working on wireless Beats headphones, removing 3.5mm iPhone headphone jack",0.0231006518,0.8093575835,0.1675417721,negative
2016-01-10,Apple Music now has more than 10M subscribers,0.1004144922,0.0094648451,0.8901207447,neutral
2016-01-11,"Apple sees pre-earnings upgrade, several target cuts; shares near $98",0.8586669564,0.1078651771,0.0334678814,positive
2016-01-15,Apple shutting down iAd App Network (updated),0.0157229938,0.6537768245,0.3305001557,negative
2016-01-22,"Apple status takes a hit, Cook heads to Brussels",0.0459267125,0.036184866,0.9178884029,neutral
2016-01-22,"Apple closes up 5.3% as markets jump; new 4"" iPhone report arrives",0.7223271728,0.1374773532,0.1401954442,positive
2016-01-22,WSJ: Apple's car project leader leaving company,0.0241234116,0.4408544004,0.5350221992,neutral
2016-01-25,"Report: Apple unhappy with car project's progress, implements hiring freeze",0.0073502059,0.9677695632,0.0248803142,negative
2016-01-26,"Apple posts mixed results, issues light guidance",0.0446587652,0.9072906375,0.0480506197,negative
2016-01-26,"Apple's EPS lifted by 40.1% gross margin, $691 iPhone ASP; dividend declared",0.8906921148,0.0165054221,0.0928024799,positive
2016-01-26,"Apple's call: Chinese macro, forex, virtual reality, iPhone ASP discussed",0.0341223106,0.0193263572,0.9465513825,neutral
2016-01-27,Analysts still bullish on Apple but reduce upside predictions,0.0395869799,0.9380243421,0.0223887246,negative
2016-01-27,Apple suppliers slide following Apple's results/guidance,0.0096783042,0.9508132339,0.039508462,negative
2016-01-27,"Apple falls towards $95 post-earnings; Street worried about China, talks up services",0.0610618144,0.8446076512,0.0943304971,negative
2016-01-29,Bloomberg: Apple developing extended range wireless charging,0.1952677667,0.0090310005,0.7957011461,neutral
2016-01-29,Energous up 4.6% following Apple wireless charging report (updated),0.9122379422,0.0347854011,0.0529766902,positive
2016-01-29,Balchem: The best stock over the last 30 years,0.6254809499,0.0091921771,0.3653268814,positive
2016-01-29,"Report: Apple creates large virtual reality team, has built headset prototypes",0.5958040953,0.0090883495,0.3951075971,positive
2016-02-01,Netflix +5% on Apple interest speculation,0.1556437463,0.0218636934,0.8224925399,neutral
2016-02-02,WisdomTree LargeCap Dividend ETF (DLN) January Summary,0.0493282489,0.0323776416,0.9182940722,neutral
2016-02-02,WisdomTree U.S. Dividend Growth ETF (DGRW) January Summary,0.4369930029,0.043028295,0.5199787617,neutral
2016-02-02,"Reports: Apple testing dual-lens camera modules, plans March 15 iPhone/iPad event",0.0840356871,0.0151719488,0.9007923603,neutral
2016-02-03,VirnetX reportedly wins Apple suit; shares +73.1% (updated),0.5297784805,0.0497688204,0.420452714,positive
2016-02-08,Apple on track for approval to open India outlets,0.4809947014,0.0120481225,0.5069571733,neutral
2016-02-12,"Reports: Apple plans to sell iPhone 5se/iPad Air 3 on March 18, financing Dr. Dre series",0.1711488813,0.0104455957,0.818405509,neutral
2016-02-16,Apple files to sell debt due from 2018-2046 (updated),0.0285561793,0.0408889838,0.9305548668,neutral
2016-02-17,Apple news roundup,0.0255325362,0.0597183108,0.9147491455,neutral
2016-02-18,Tech CEOs in support of Apple vs. FBI,0.4283922911,0.108505927,0.4631017745,neutral
